t_ms h_imr h_echo
29.500000 0.004326 0.000000
29.600000 0.001272 0.000000
29.700000 -0.003167 0.000000
29.800000 -0.003012 0.000000
29.900000 0.001094 0.000000
30.000000 0.003369 0.000000
30.100000 9.903e-04 0.000000
30.200000 -0.002466 0.000000
30.300000 -0.002346 0.000000
30.400000 8.524e-04 0.000000
30.500000 0.002624 0.000000
30.600000 7.712e-04 0.000000
30.700000 -0.001921 0.000000
30.800000 -0.001827 0.000000
30.900000 6.638e-04 0.000000
31.000000 0.002043 0.000000
31.100000 6.006e-04 0.000000
31.200000 -0.001496 0.000000
31.300000 -0.001423 0.000000
31.400000 5.170e-04 0.000000
31.500000 0.001591 0.000000
31.600000 4.678e-04 0.000000
31.700000 -0.001165 0.000000
31.800000 -0.001108 0.000000
31.900000 4.026e-04 0.000000
32.000000 0.001239 0.000000
32.100000 3.643e-04 0.000000
32.200000 -9.073e-04 0.000000
32.300000 -8.630e-04 0.000000
32.400000 3.136e-04 0.000000
32.500000 9.652e-04 0.000000
32.600000 2.837e-04 0.000000
32.700000 -7.066e-04 0.000000
32.800000 -6.721e-04 0.000000
32.900000 2.442e-04 0.000000
33.000000 7.517e-04 0.000000
33.100000 2.210e-04 0.000000
33.200000 -5.503e-04 0.000000
33.300000 -5.234e-04 0.000000
33.400000 1.902e-04 0.000000
33.500000 5.854e-04 0.000000
33.600000 1.721e-04 0.000000
33.700000 -4.286e-04 0.000000
33.800000 -4.077e-04 0.000000
33.900000 1.481e-04 0.000000
34.000000 4.559e-04 0.000000
34.100000 1.340e-04 0.000000
34.200000 -3.338e-04 0.000000
34.300000 -3.175e-04 0.000000
34.400000 1.154e-04 0.000000
34.500000 3.551e-04 0.000000
34.600000 1.044e-04 0.000000
34.700000 -2.599e-04 0.000000
34.800000 -2.473e-04 0.000000
34.900000 8.984e-05 0.000000
35.000000 2.765e-04 0.000000
35.100000 8.129e-05 0.044092
35.200000 -2.024e-04 -0.109804
35.300000 -1.926e-04 -0.104449
35.400000 6.997e-05 0.037950
35.500000 2.154e-04 0.116820
35.600000 6.331e-05 0.034339
35.700000 -1.577e-04 -0.085516
35.800000 -1.500e-04 -0.081345
35.900000 5.449e-05 0.029556
36.000000 1.677e-04 0.090980
36.100000 4.930e-05 0.026743
36.200000 -1.228e-04 -0.066600
36.300000 -1.168e-04 -0.063352
36.400000 4.244e-05 0.023018
36.500000 1.306e-04 0.070855
36.600000 3.840e-05 0.020828
36.700000 -9.562e-05 -0.051868
36.800000 -9.096e-05 -0.049338
36.900000 3.305e-05 0.017926
37.000000 1.017e-04 0.055182
37.100000 2.990e-05 0.016221
37.200000 -7.447e-05 -0.040395
37.300000 -7.084e-05 -0.038425
37.400000 2.574e-05 0.013961
37.500000 7.923e-05 0.042976
37.600000 2.329e-05 0.012633
37.700000 -5.800e-05 -0.031459
37.800000 -5.517e-05 -0.029925
37.900000 2.005e-05 0.010873
38.000000 6.170e-05 0.033470
38.100000 1.814e-05 0.009838
38.200000 -4.517e-05 -0.024501
38.300000 -4.297e-05 -0.023306
38.400000 1.561e-05 0.008468
38.500000 4.806e-05 0.026066
38.600000 1.413e-05 0.007662
38.700000 -3.518e-05 -0.019081
38.800000 -3.346e-05 -0.018151
38.900000 1.216e-05 0.006595
39.000000 3.743e-05 0.020300
39.100000 1.100e-05 0.005967
39.200000 -2.740e-05 -0.014860
39.300000 -2.606e-05 -0.014136
39.400000 9.469e-06 0.005136
39.500000 2.915e-05 0.015810
39.600000 8.568e-06 0.004647
39.700000 -2.134e-05 -0.011573
39.800000 -2.030e-05 -0.011009
39.900000 7.374e-06 0.004000
40.000000 2.270e-05 0.012313
40.100000 6.673e-06 0.003619
40.200000 -1.662e-05 -0.009013
40.300000 -1.581e-05 -0.008574
40.400000 5.743e-06 0.003115
40.500000 1.768e-05 0.009589
40.600000 5.197e-06 0.002819
40.700000 -1.294e-05 -0.007020
40.800000 -1.231e-05 -0.006677
40.900000 4.473e-06 0.002426
41.000000 1.377e-05 0.007468
41.100000 4.047e-06 0.002195
41.200000 -1.008e-05 -0.005467
41.300000 -9.587e-06 -0.005200
41.400000 3.483e-06 0.001889
41.500000 1.072e-05 0.005816
41.600000 3.152e-06 0.001710
41.700000 -7.849e-06 -0.004258
41.800000 -7.467e-06 -0.004050
41.900000 2.713e-06 0.001471
42.000000 8.351e-06 0.004530
42.100000 2.455e-06 0.001331
42.200000 -6.113e-06 -0.003316
42.300000 -5.815e-06 -0.003154
42.400000 2.113e-06 0.001146
42.500000 6.504e-06 0.003528
42.600000 1.912e-06 0.001037
42.700000 -4.761e-06 -0.002582
42.800000 -4.529e-06 -0.002456
42.900000 1.645e-06 8.925e-04
43.000000 5.065e-06 0.002747
43.100000 1.489e-06 8.076e-04
43.200000 -3.708e-06 -0.002011
43.300000 -3.527e-06 -0.001913
43.400000 1.281e-06 6.951e-04
43.500000 3.945e-06 0.002140
43.600000 1.160e-06 6.289e-04
43.700000 -2.888e-06 -0.001566
43.800000 -2.747e-06 -0.001490
43.900000 9.980e-07 5.413e-04
44.000000 3.072e-06 0.001666
44.100000 9.030e-07 4.898e-04
44.200000 -2.249e-06 -0.001220
44.300000 -2.139e-06 -0.001160
44.400000 7.772e-07 4.216e-04
44.500000 2.393e-06 0.001298
44.600000 7.033e-07 3.815e-04
44.700000 -1.751e-06 -9.500e-04
44.800000 -1.666e-06 -9.037e-04
44.900000 6.053e-07 3.283e-04
45.000000 1.863e-06 0.001011
45.100000 5.477e-07 2.971e-04
45.200000 -1.364e-06 -7.399e-04
45.300000 -1.297e-06 -7.038e-04
45.400000 4.714e-07 2.557e-04
45.500000 1.451e-06 7.871e-04
45.600000 4.266e-07 2.314e-04
45.700000 -1.062e-06 -5.762e-04
45.800000 -1.010e-06 -5.481e-04
45.900000 3.671e-07 1.991e-04
46.000000 1.130e-06 6.130e-04
46.100000 3.322e-07 1.802e-04
46.200000 -8.273e-07 -4.487e-04
